analysis_id,j4ubz624hxc221o
mouse_life_stage,E12.5
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
mouse_strain,C57BL
parameter_id,IMPC_CBC_003_001
parameter_name,Chloride
pvalue,0.5242361
