parameter_name,Body position
gene_accession_id,MGI:891989
mouse_strain,C57BL
gene_symbol,Npbwr1
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_001
analysis_id,24rf879701n4093
pvalue,0.7197139
