parameter_name,Red blood cell count
gene_symbol,Fgb
pvalue,0.1593221
gene_accession_id,MGI:99501
mouse_life_stage,E15.5
analysis_id,ujmr3ib7cahu42a
parameter_id,IMPC_HEM_002_001
mouse_strain,C57BL
