parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:1914071
parameter_name,Retina (combined)
mouse_strain,C57BL
pvalue,0.9521681
analysis_id,gb8mn12ldfy97qs
gene_symbol,Bcs1l
mouse_life_stage,E12.5
