mouse_strain,B6J
parameter_id,IMPC_EYE_027_001
gene_accession_id,MGI:1346344
pvalue,0.9300537
parameter_name,Persistence of hyaloid vascular system
gene_symbol,Nr0b2
analysis_id,sdp07h47353x360
mouse_life_stage,Early adult
