parameter_name,Limb coat/hair presence
gene_symbol,Dnaaf9
analysis_id,3z4v9no717fi4w5
mouse_strain,C57BL
parameter_id,MGP_CSD_030_001
pvalue,0.7346051
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
