gene_symbol,Ppm1j
pvalue,0.7997526
mouse_strain,C57BL
gene_accession_id,MGI:1919137
parameter_name,Body weight
parameter_id,M-G-P_009_001_003
mouse_life_stage,Early adult
analysis_id,c2ihf2u5a7621b0
