analysis_id,wat6s6p396j2zra
mouse_strain,C57BL
pvalue,0.7562952
parameter_id,ESLIM_008_001_017
gene_accession_id,MGI:1915325
mouse_life_stage,Early adult
parameter_name,Limb grasping
gene_symbol,Lurap1
