analysis_id,968w66ponkl9oxx
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
pvalue,0.6639236
parameter_name,Skull shape
parameter_id,IMPC_XRY_001_001
gene_symbol,Sema6c
mouse_strain,C57BL
