analysis_id,q501jd4ou39zli3
gene_symbol,Exd1
gene_accession_id,MGI:3045306
pvalue,0.2353871
parameter_name,Shape of vertebrae
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_018_001
