analysis_id,dy927sj5hhc17d0
gene_symbol,Frmpd1
parameter_id,MGP_IMM_014_001
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446274
pvalue,0.2888833
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD8+
