analysis_id,r8r7b9692318f1q
pvalue,0.4852526
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
mouse_strain,C57BL
parameter_name,Total ab T cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_070_001
