parameter_name,Respiration Rate
mouse_strain,C57BL
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
analysis_id,3b3yytd6241m3t4
gene_symbol,Hpca
pvalue,0.8754348
parameter_id,IMPC_ECH_018_001
