parameter_name,Fat/Body weight
parameter_id,IMPC_DXA_009_001
gene_accession_id,MGI:1920344
pvalue,0.457338
gene_symbol,Sgip1
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,bjgx914rgz2o0o5
