analysis_id,gos63zno7528543
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Neutrophil differential count
gene_accession_id,MGI:103302
gene_symbol,Bmp7
parameter_id,IMPC_HEM_029_001
pvalue,0.3327946
