analysis_id,e1ji3p9pei5d853
mouse_strain,129SV
parameter_name,Neutrophil differential count
gene_symbol,Nipal3
parameter_id,IMPC_HEM_029_001
mouse_life_stage,Early adult
pvalue,0.8031225
gene_accession_id,MGI:1921802
