mouse_life_stage,Middle aged adult
analysis_id,63q93l78k4m78h7
pvalue,0.4477634
mouse_strain,C57BL
gene_symbol,Hpca
gene_accession_id,MGI:1336200
parameter_id,IMPC_GEL_006_001
parameter_name,Pericardium Morphology
