analysis_id,0m7073266a42es6
gene_accession_id,MGI:1346344
parameter_name,Neutrophil differential count
parameter_id,IMPC_HEM_029_001
mouse_strain,B6J
gene_symbol,Nr0b2
pvalue,0.5410613
mouse_life_stage,Early adult
