parameter_id,IMPC_ECG_028_001
analysis_id,14521hn85fq0h4n
mouse_life_stage,Early adult
pvalue,0.3670515
gene_accession_id,MGI:1921442
parameter_name,QT
mouse_strain,C57BL
gene_symbol,Arpc5l
