analysis_id,lrjyo3v6j9theea
mouse_strain,C57BL
pvalue,0.365653
gene_symbol,Rufy4
mouse_life_stage,Early adult
parameter_name,Ulna
parameter_id,IMPC_XRY_023_001
gene_accession_id,MGI:3588214
