parameter_name,Lens
gene_symbol,Inpp1
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_id,IMPC_EYE_016_001
mouse_strain,129SV
pvalue,0.8759333
analysis_id,6alv3v7asrwwn75
