gene_symbol,Arpc5l
parameter_name,Body Weight
mouse_life_stage,Early adult
parameter_id,M-G-P_020_001_001
gene_accession_id,MGI:1921442
pvalue,0.5444015
mouse_strain,C57BL
analysis_id,o8w3pqq527dro89
