analysis_id,xr6772j67nyq95b
parameter_id,IMPC_CSD_008_001
pvalue,0.2410037
parameter_name,Coat - color pattern - back
gene_accession_id,MGI:109585
mouse_strain,C57BL
gene_symbol,Pld1
mouse_life_stage,Early adult
