analysis_id,53j343663x46p87
parameter_id,JAX_LDT_004_001
gene_symbol,Abo
pvalue,0.9439461
mouse_strain,C57BL
parameter_name,Dark side time spent
gene_accession_id,MGI:2135738
mouse_life_stage,Early adult
