gene_symbol,Bmi1
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
parameter_name,Right total retinal thickness
analysis_id,0p91z3ml33ag6as
pvalue,0.5983669
parameter_id,IMPC_EYE_062_001
