parameter_name,Monocyte percentage
analysis_id,71j9p8qlh06d3iu
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.162126
parameter_id,MGP_PBI_016_001
gene_accession_id,MGI:3033992
gene_symbol,Cldn19
