gene_symbol,Serinc3
mouse_strain,C57BL
parameter_id,JAX_URI_002_001
parameter_name,Creatinine
mouse_life_stage,Early adult
pvalue,0.9958832
gene_accession_id,MGI:1349457
analysis_id,84k12k395t8g610
