analysis_id,05mebcr5o1h86ze
gene_accession_id,MGI:97054
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of CD45+
gene_symbol,Mov10
pvalue,0.6283589
parameter_id,MGP_IMM_071_001
