analysis_id,wf1p95j9pal5ym3
pvalue,0.3062163
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Periphery resting time
gene_symbol,Ssr2
parameter_id,HRWLLA_OFD_011_001
