analysis_id,cz94o0784r90o7q
pvalue,0.762368
parameter_id,IMPC_CBC_004_001
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
parameter_name,Urea (Blood Urea Nitrogen - BUN)
mouse_strain,C57BL
