parameter_name,Periphery resting time
gene_symbol,Ncaph
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_011_001
mouse_life_stage,Early adult
analysis_id,74nzc18qh98y2w0
pvalue,0.6306871
gene_accession_id,MGI:2444777
