gene_symbol,Npbwr1
gene_accession_id,MGI:891989
analysis_id,bk20t0k9r2r15o7
parameter_name,Eye
mouse_life_stage,Early adult
parameter_id,M-G-P_013_001_001
pvalue,0.2482662
mouse_strain,C57BL
