gene_symbol,Rab17
mouse_strain,C57BL
parameter_id,IMPC_CSD_078_001
pvalue,0.4536912
analysis_id,l30bf4k30p277vf
parameter_name,Vocalization
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
