parameter_name,PQ
analysis_id,wt0907822lkty5k
mouse_strain,C57BL
parameter_id,IMPC_ECG_005_001
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
mouse_life_stage,Early adult
pvalue,0.7120587
