analysis_id,a8043u67nw07zhz
pvalue,0.2232668
gene_accession_id,MGI:104848
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Inpp1
parameter_id,MGP_MLN_072_001
