analysis_id,7i5r0784707qbk1
pvalue,0.1427947
mouse_strain,C57BL
parameter_id,HRWLLA_CBC_014_001
parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
gene_symbol,Etfdh
