analysis_id,3a3uby2x7z3fm2j
gene_accession_id,MGI:2444554
pvalue,0.9670811
parameter_name,B cell percentage
parameter_id,MGP_PBI_014_001
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_symbol,Mapkap1
