analysis_id,03n1rp5z1jg8kwq
gene_symbol,Opn3
mouse_strain,C55BL
pvalue,0.8928062
parameter_name,CD11b-high cDC - % of cDC
gene_accession_id,MGI:1338022
mouse_life_stage,Early adult
parameter_id,MGP_IMM_066_001
