gene_symbol,Ifi44
mouse_life_stage,Early adult
gene_accession_id,MGI:2443016
parameter_name,Lens Opacity
analysis_id,nm900m3wm9ar3c0
pvalue,0.4947262
mouse_strain,C57BL
parameter_id,UCDLA_EYE_017_001
