analysis_id,y9k0ow092y6jf05
pvalue,0.1606554
mouse_life_stage,Early adult
parameter_name,Lean mass
gene_symbol,Snap23
mouse_strain,C57BL
gene_accession_id,MGI:109356
parameter_id,JAXLA_DXA_003_001
