parameter_id,MGP_CSD_064_001
pvalue,0.2996519
gene_accession_id,MGI:1346344
parameter_name,Head morphology
mouse_life_stage,Early adult
analysis_id,61m6ydbv3ch8djs
gene_symbol,Nr0b2
mouse_strain,B6J
