analysis_id,nnn19ps78kfrfl0
gene_symbol,Ints7
parameter_name,Snout size
pvalue,0.5280329
mouse_life_stage,E9.5
gene_accession_id,MGI:1924315
mouse_strain,C57BL
parameter_id,MGP_CSD_067_001
