analysis_id,w23fp1755611875
gene_symbol,Lpgat1
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_004_001
pvalue,0.05729581
parameter_name,Urea (Blood Urea Nitrogen - BUN)
gene_accession_id,MGI:2446186
mouse_strain,C57BL
