gene_symbol,Tnni1
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
pvalue,0.8949615
analysis_id,jq7s6ve74jwh4sb
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_MLN_063_001
