analysis_id,4a96b3h9v15tdcw
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Kcng1
parameter_id,MGP_MLN_071_001
parameter_name,Resting Treg cells - % of CD45+
gene_accession_id,MGI:3616086
pvalue,0.08566554
