analysis_id,2ckoc8d1v0q0070
gene_symbol,Atf3
mouse_life_stage,Early adult
parameter_name,Total NK cells - % of CD45+
pvalue,0.8118614
mouse_strain,C57BL
parameter_id,MGP_MLN_031_001
gene_accession_id,MGI:109384
