parameter_name,LVIDd
pvalue,0.9188645
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_008_001
mouse_strain,C57BL
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
analysis_id,763sbwkv8nl2f4p
