parameter_name,Pale yolk sac
analysis_id,1539q7j41eqa4f1
gene_symbol,Traf6
gene_accession_id,MGI:108072
parameter_id,IMPC_GEL_017_002
pvalue,0.9418282
mouse_life_stage,Early adult
mouse_strain,C57BL
