analysis_id,gt5064df2g3spz5
mouse_life_stage,Early adult
gene_symbol,Slc17a9
parameter_name,Caudal processes
gene_accession_id,MGI:1919107
parameter_id,IMPC_XRY_067_001
pvalue,0.5991353
mouse_strain,C57BL
