analysis_id,2uqgo49376ja0n2
parameter_name,Alkaline phosphatase
gene_accession_id,MGI:1274787
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
gene_symbol,Trdmt1
pvalue,0.9456979
mouse_life_stage,Early adult
