gene_symbol,Arpc5l
mouse_strain,C57BL
parameter_id,MGP_MLN_071_001
gene_accession_id,MGI:1921442
parameter_name,Resting Treg cells - % of CD45+
analysis_id,xm7ce77v1g864y5
mouse_life_stage,Early adult
pvalue,0.7987795
