parameter_name,Femur
gene_accession_id,MGI:99605
parameter_id,IMPC_XRY_024_001
mouse_life_stage,Early adult
gene_symbol,Cntfr
mouse_strain,C57BL
analysis_id,z59l002i1gi208c
pvalue,0.5356306
