gene_symbol,Tbl1xr1
parameter_name,BMC/Body weight
mouse_strain,C57BL
analysis_id,02in614kcs6jb07
pvalue,0.790383
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
parameter_id,HRWLLA_DXA_007_001
