analysis_id,su23k4290566n5p
gene_symbol,Dnajc5b
parameter_name,Facial Morphology
mouse_strain,C57BL
gene_accession_id,MGI:1913576
parameter_id,IMPC_GEP_017_001
mouse_life_stage,Early adult
pvalue,0.9538512
