parameter_id,IMPC_ACS_006_001
parameter_name,Response amplitude - S
gene_accession_id,MGI:95457
analysis_id,b02ce4t847s2gd9
mouse_life_stage,Early adult
gene_symbol,Mecom
mouse_strain,C3H
pvalue,0.07592659
