parameter_name,Head morphology
gene_symbol,Nemp2
analysis_id,i23ynfvk1pc4r14
pvalue,0.4594533
parameter_id,MGP_CSD_064_001
gene_accession_id,MGI:2444113
mouse_strain,C57BL
mouse_life_stage,Early adult
