parameter_name,Body position
pvalue,0.3633627
gene_symbol,Kif24
parameter_id,ESLIM_008_001_001
gene_accession_id,MGI:1918345
analysis_id,laf67hw4b246b97
mouse_life_stage,Early adult
mouse_strain,C57BL
