gene_symbol,Snap23
parameter_id,ESLIM_016_001_005
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
parameter_name,Mean cell volume
pvalue,0.6298283
analysis_id,lr2537w1v628bgy
mouse_strain,C57BL
