analysis_id,76uz89bym8f5922
gene_accession_id,MGI:104848
mouse_strain,C57BL
parameter_id,IMPC_GEL_057_001
mouse_life_stage,Early adult
pvalue,0.2025705
parameter_name,Heart looping
gene_symbol,Inpp1
