analysis_id,1275584lifty2g4
mouse_strain,C57BL
parameter_id,MGP_PBI_004_001
gene_accession_id,MGI:1918025
parameter_name,CD8+ alpha beta T cell percentage
mouse_life_stage,Early adult
pvalue,0.418031
gene_symbol,Zmynd8
