parameter_name,Limb grasping
mouse_strain,C57BL
gene_accession_id,MGI:1913576
parameter_id,ESLIM_008_001_017
pvalue,0.4217821
gene_symbol,Dnajc5b
mouse_life_stage,Early adult
analysis_id,5ls87653c201p25
