analysis_id,000vt8z674f5kjs
parameter_name,KLRG1+ NK cells - % of NK cells
mouse_life_stage,Early adult
mouse_strain,C56BL
parameter_id,MGP_IMM_036_001
pvalue,0.9998681
gene_symbol,Cntfr
gene_accession_id,MGI:99605
