analysis_id,x378c90y729e04y
parameter_id,M-G-P_006_001_026
parameter_name,Fusion of vertebrae
mouse_strain,C57BL
gene_symbol,Mapkap1
pvalue,0.7437885
gene_accession_id,MGI:2444554
mouse_life_stage,Early adult
