parameter_name,Limb grasping
gene_symbol,Snap23
pvalue,0.1641997
mouse_strain,C57BL
analysis_id,951uo0c0hbrfpt0
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_017
gene_accession_id,MGI:109356
